model,f1_macro,balanced_accuracy,accuracy,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,runtime_seconds
Baseline Most Frequent,0.235 ± 0.001,0.333 ± 0.000,0.544 ± 0.004,0.23486483031020464,0.001017203597806231,0.3333333333333333,0.0,0.5439249430475602,0.003636126401368025,0.3633335999911651
Logistic Regression,0.520 ± 0.072,0.596 ± 0.028,0.502 ± 0.049,0.5198311109314144,0.07177135827120462,0.5958060970304275,0.02779163470096074,0.5021663808052567,0.04871026430594301,0.9756408999674022
Decision Tree,0.566 ± 0.040,0.610 ± 0.034,0.540 ± 0.050,0.5656629893902451,0.04033580593818712,0.6096263054366896,0.03360970030147386,0.5396610847277358,0.05042899072567354,0.32211480010300875
Gaussian Naive Bayes,0.354 ± 0.014,0.520 ± 0.015,0.333 ± 0.014,0.3535033065804185,0.014122630584694177,0.5195326533042215,0.014873778408520081,0.3329621141559547,0.014191567968266117,0.30458530003670603
